species,longitude,latitude,q5_depth,q95_depth,q5_velocity,q95_velocity,q5_ss,q95_ss,q5_slope,q95_slope,q5_reynolds,q95_reynolds,q5_froude,q95_froude
background,2264647.399,1861243.982,3.1653154,-1.1040787,0.0200652,0,0,0,2.145592,1.2436877,5807.609863,0,0.0018263,0
background,2267767.845,1861199.249,15.1152134,9.1367617,2.2654836,0,0.4979495,0,5.1505108,5.171351,2790592.5,14.2388372,0.107335,0
background,2267707.843,1861223.011,13.3832207,7.6285524,1.1175584,0,0.158212,0,6.4147668,5.75841,1243694.25,2.1939654,0.0635067,0
background,2263511.657,1861177.004,3.6122928,-0.6619695,0.0172495,0.0000862,0,0,1.7280364,0.9185151,6143.584961,5.1685314,0.0013696,0
background,2262265.423,1861458.197,1.4317161,-0.6830961,0.0036573,0.002942,0,0.0000386,2.0528579,0.3126034,698.0646362,286.578186,0.0004729,0.0004852
background,2264925.975,1861193.516,3.5633309,-0.7003881,0.0204049,0,0,0,1.1241626,1.1292589,5827.558594,0,0.0020645,0
background,2264555.731,1861462.765,2.4836488,-1.312279,0.0458742,0,0.0006088,0,0.8921258,0.8925647,9070.157227,0,0.0056127,0
background,2267120.761,1860800.794,7.2791734,1.6819618,0.4898257,0,0.0645547,0,20.8792973,19.9915466,629950,2.9213285,0.0216448,0
background,2267419.691,1860854.882,7.7396431,2.0611413,1.5933275,0,0.3495348,0,4.6217437,4.3955507,1174117.25,4.6081038,0.1473812,0
background,2267482.259,1860878.463,6.0597568,0.276645,1.5183258,0,0.3087966,0,0.4446779,1.4187468,770212.875,0.7273055,0.1286122,0
background,2263736.289,1860878.205,5.1657071,0.1381916,0.0313619,0.000264,0,0,0.4351295,0.4165013,13084.00488,12.6848373,0.0025593,0
background,2267499.58,1861087.876,11.2904167,5.4955635,1.0633048,0,0.2052371,0,2.4000244,2.358279,1197366,5.2631283,0.0518908,0
background,2263723.633,1860922.994,5.4303565,0.3774531,0.0328191,0.0002898,0,0,0.1820284,0.1818746,14236.58691,16.2697201,0.0026126,0
background,2264334.868,1860886.437,3.6307626,-0.5578655,0.0191149,0,0,0,1.3404883,0.3061161,6372.462891,0,0.0017634,0
background,2264327.82,1860979.742,4.577961,-0.2766274,0.0238158,0,0,0,0.337637,0.2774251,8868.701172,0,0.0019698,0
background,2262110.178,1861030.751,2.0751696,-0.8902512,0.0006637,0.0152838,0,0.0010474,2.6993239,2.01019,101.6587448,713.3656616,0,0.003637
background,2263219.324,1861017.173,2.4313135,-1.4993166,0.0293507,0.0005248,0,0,2.0953872,1.8332937,8250.866211,8.2947416,0.0031112,0.0001379
background,2264275.657,1860879.887,3.9128499,-0.8212826,0.0168913,0,0,0,0.2484096,0.5446335,5456.007324,0,0.0013311,0
background,2261719.218,1861004.805,3.072865,-0.469431,0.0028228,0.0183029,0,0.0009107,0.1485589,0.0637057,694.6665039,966.0593872,0.0000361,0.0039623
background,2263833.701,1860820.947,4.8227167,-0.1448263,0.0309535,0.000005,0,0,1.293838,0.6706666,12190.32227,0.4813209,0.0029547,0
background,2261149.672,1860799.085,2.578002,-1.0057949,0.0010038,0.0059871,0,0.0005155,1.3847722,0.0769469,179.9646149,162.0852661,0,0.0022696
background,2264297.176,1860875.745,3.6836221,-0.7267652,0.0176545,0,0,0,0.6792005,0.429205,5618.634277,0,0.0015554,0
background,2264103.386,1860929.886,4.6690536,-0.2544554,0.026567,0,0,0,0.4231225,0.4168165,9606.258789,0.0754042,0.0022848,0
background,2268045.225,1860856.63,3.1824114,-0.6639348,0.1736589,0,0.0053569,0,1.0106021,0.1903504,44587.26172,0,0.020852,0
background,2261798.457,1861039.591,3.1254289,-0.2374573,0.0034961,0.0065949,0,0.0003665,0.7432402,0.827089,809.9794922,418.405426,0.0000623,0.0013093
background,2263291.435,1861016.167,4.7729578,-0.0502922,0.0328858,0.0009384,0,0,1.9597242,0.8244869,13187.55859,11.7104836,0.0029174,0.000022
background,2263618.52,1860827.159,5.087471,0.113082,0.0265025,0.0008351,0,0,0.4756512,0.3245774,10882.63477,17.1191063,0.0021286,0
background,2263702.596,1860953.08,5.5191045,0.4661758,0.0307183,0.000512,0,0,0.0226952,0.0226553,13539.47461,18.4109039,0.0023114,0
background,2263652.925,1860972.522,5.5400076,0.4871204,0.0287822,0.0007721,0,0,0.0196311,0.0195582,12735.70313,22.0034142,0.0020421,0
background,2267363.656,1860869.938,10.7350359,4.8116913,1.6571627,0,0.3380845,0,6.0001383,5.997508,1712238.5,9.0415134,0.0903569,0
background,2261242.719,1860806.621,2.4534228,-1.0317818,0.0015441,0.0972298,0,0.006136,3.1887827,2.5770206,492.5808411,4167.417969,0,0.0289244
background,2264089.611,1860884.581,4.3807645,-0.4505192,0.0215921,0,0,0,0.8915275,0.6666501,7592.472168,0,0.0020148,0
background,2262014.553,1860991.648,2.0953364,-1.157109,0.0006225,0.0391505,0,0.0024327,1.048723,1.1547647,113.4895401,2316.57544,0.0000265,0.0082782
background,2263369.078,1860965.898,5.2828445,0.2301629,0.0309736,0.0010503,0,0,0.4128095,0.4124859,12924.40918,43.678524,0.0022399,0.0000626
background,2261821.371,1861090.171,2.4619188,-0.7109699,0.0031976,0.0101906,0,0.0006687,0.6077417,0.5887676,653.84552,533.6672363,0.0004751,0.0023019
background,2268443.171,1860840.082,1.9603091,-0.7451966,0.0881138,0,0.0032749,0,1.0572653,0.7072231,11372.92188,0,0.0295458,0
background,2263311.866,1861104.022,2.012378,-1.9518973,0.0290785,0.0001202,0,0,2.888051,1.8069983,6647.276367,2.3629224,0.0031991,0
background,2267564.246,1860965.035,4.108418,-1.6995128,1.6838282,0,0.4305711,0,4.1818399,5.0519171,579978.1875,0.7553794,0.1590881,0
background,2268331.436,1861046.774,1.5109206,-0.881516,0.1000635,0,0.0027266,0,1.4556788,0.3614641,13646.51563,0,0.0151583,0
background,2263304.417,1860992.725,4.7634897,-0.1063797,0.0318257,0.0009517,0,0,1.9673773,0.5554973,12509.40625,26.777319,0.0026509,0.0000682
background,2263039.116,1860836.987,4.7013617,-0.2056832,0.0281192,0.002711,0,0,1.937562,1.3810173,10732.45508,36.7568817,0.0023128,0.0016765
background,2264707.527,1860986.348,3.4038014,-0.3582743,0.0159497,0,0,0,1.4101245,0.278291,4554.432617,0,0.0014333,0
background,2261712.594,1861045.734,2.6051235,-0.4279384,0.0026549,0.0117094,0,0.000572,0.6412414,0.3511423,625.2711792,616.1985474,0.0000451,0.0025375
background,2267326.562,1860774.395,8.2630396,2.5721517,1.5973545,0,0.3430418,0,3.8411965,3.673147,1180712.875,5.0442195,0.1168709,0
background,2263482.712,1860774.701,5.1274509,0.1694543,0.0252474,0.0008526,0,0,1.2546768,0.9900385,10437.02734,30.1378345,0.0021129,0
background,2269659.245,1860425.829,3.3401878,-2.303947,1.047236,0.0776982,0.1883589,0.0063097,5.7254548,5.2192025,365512.2188,4959.482422,0.1054876,0.0336921
background,2266863.276,1860547.559,5.0374966,-0.1830411,0.5738386,0,0.074751,0,6.5179706,6.0652652,603247.625,3.5163736,0.0281491,0
background,2270446.842,1860490.118,19.1952324,13.0813599,3.2924359,0.9792857,0.9287381,0.0956464,0.4818182,0.4835852,5003214,1011511.75,0.1322781,0.0477595
background,2270365.507,1860510.87,19.8063679,13.6956272,3.1226311,0.7613504,0.8262431,0.055712,0.2640169,0.2609943,4899872.5,826047.125,0.1233412,0.0366896
background,2261336.557,1860676.459,2.5416362,-0.6048334,0.0023754,0.0336869,0,0.0025008,0.6391948,0.3260269,676.3773193,1141.348023,0,0.0115658
background,2269862.161,1860525.109,5.7905879,-0.2949468,0.9792234,0.0551455,0.1306924,0.0072847,6.640686,5.0263944,468397.0625,2408.682617,0.0709012,0.0277715
background,2264095.563,1860639.934,2.9579189,-0.1582652,0.0040238,0,0,0,1.8509191,1.9589373,917.0338135,0,0.0002264,0
background,2269990.672,1860426.65,10.8758125,4.8221011,2.9400761,0.8954103,0.8949074,0.1097872,3.6058052,3.4826219,2529525.25,339911.9063,0.1573979,0.0724782
background,2264962.725,1860503.794,5.6957254,2.3138568,0.0006644,0.0007574,0,0,0.3275457,0.3273182,295.4642944,138.7769928,0,0
background,2265363.258,1860408.46,3.2796104,0.160363,0,0.0007095,0,0,6.3345575,5.1941237,33.5184517,42.4932899,0,0
background,2263744.294,1860752.614,2.806905,-1.8174944,0.0260216,0.0000466,0,0,3.0864632,3.3515739,6407.70459,1.5696443,0.0030652,0
background,2262917.542,1860708.797,4.6766114,-0.2245675,0.0270809,0.0056342,0,0,0.4270947,0.3082496,11209.98145,121.5866013,0.0022299,0.0016531
background,2261141.962,1860423.718,-1.0776249,-4.8778901,0.0006607,0.0373442,0,0.0031327,5.0519257,5.2464972,202.8189697,483.1056213,0.0000557,0.0184617
background,2270044.51,1860554.912,8.3504868,2.3969624,1.2424185,0.2481566,0.1961657,0.0139667,10.5149345,9.8985195,958535.625,87910.17969,0.07352,0.0215772
background,2267210.008,1860759.982,13.2208128,7.3086772,1.6601,0,0.3341709,0,1.9426494,1.9464849,1936142,11.4007034,0.0825535,0
background,2264963.321,1860398.692,5.6466608,2.2646754,0.0009631,0.0009989,0,0,0.5469828,0.546892,281.5750427,213.6646118,0,0
background,2265125.702,1860471.026,5.6623793,2.2804179,0.0000135,0.0000594,0,0,0.438773,0.4385251,133.2088013,84.2461624,0,0
background,2262808.759,1860410.083,5.4334521,0.4500713,0.0434808,0.0027802,0.0000388,0,0.9135476,0.7653404,18551.25586,165.8429108,0.0032079,0.0006794
background,2268147.843,1860632.827,2.5151987,-0.824876,0.0573064,0,0.0012326,0,1.9071126,0.1712078,10634.24512,0,0.0109121,0
background,2263024.572,1860709.089,5.2087746,0.1572544,0.0428099,0.0048212,0.0000262,0,0.3513966,0.3520421,17873.92578,151.2155762,0.0033723,0.0015518
background,2263858.538,1860768.764,3.0928307,-0.9355142,0.0197466,0,0,0,1.083611,0.3713568,5459.937012,0.6026217,0.0025618,0
background,2269849.14,1860419.751,11.4827108,5.3858275,1.789958,0.4943802,0.3281887,0.0336597,5.744576,5.7240276,1626174.625,208993.2344,0.0936289,0.0389004
background,2262850.653,1860517.473,5.5551105,0.5040829,0.0424405,0.002737,0.0000351,0,0.3895229,0.3895085,18352.50391,169.5379333,0.0034001,0.0007023
background,2263042.673,1860549.132,3.0111356,-1.9026966,0.0654666,0.0005747,0.0007639,0,1.8511444,2.3036947,15064.47363,13.1130047,0.0070081,0.0003048
background,2265170.918,1860666.154,2.9550889,-0.2630127,0,0,0,0,1.8666689,1.766342,45.2356796,8.6739883,0,0
background,2267734.538,1860740.214,3.0224946,-0.8255316,0.155545,0,0.0179367,0,2.0448549,1.164274,33058.16016,0,0.0371565,0
background,2264004.091,1860547.716,3.593477,0.5241955,0.0058096,0,0,0,1.2620707,1.2077812,1760.455811,0,0.0009202,0
background,2262838.154,1860509.451,5.6421828,0.5911573,0.0404324,0.0027918,0.0000326,0,0.6057969,0.6058394,17713.79688,189.726532,0.0031926,0.0006369
background,2267123.145,1860692.187,12.9420767,7.0459394,1.4952539,0,0.2897116,0,0.4207075,0.4219042,1765751.25,11.0778484,0.0725272,0
background,2268109.342,1860583.802,1.3691108,-1.0144788,0.0948006,0,0.003644,0,0.7155055,0.1329475,9762.151367,0,0.0237197,0
background,2266919.638,1860406.395,11.3054934,5.4263859,1.473704,0,0.2427419,0,4.8068843,4.7991905,1559731.875,10.0849257,0.0767327,0
background,2270385.154,1860464.643,19.7243805,13.60917,3.1977201,0.872996,0.8678582,0.0748303,0.336866,0.3346815,4994633.5,939267.9375,0.1268863,0.0418718
background,2269859.647,1860449.005,12.0025692,5.9019809,1.6007659,0.3910297,0.2585737,0.0207865,4.4648228,4.4574919,1522397.875,182561.5156,0.0817828,0.0295358
background,2265021.716,1860391.393,4.8599796,1.6997802,0.0006186,0.0008314,0,0,1.2130564,0.8381281,207.3842163,164.5591431,0,0
background,2264234.525,1860203.433,3.6594059,0.5536274,0.0014651,0.001776,0,0,2.1917512,1.7828133,417.0331726,259.725769,0.0000396,0
background,2263906.154,1860043.042,2.6669049,-0.2416614,0.0018444,0.0011848,0,0,1.4926245,1.0600542,359.1929932,205.6072693,0.000066,0.0002197
background,2270729.832,1860253.055,23.2957745,17.1730061,3.1778965,0.9557182,0.8085719,0.0809286,0.4633313,0.4607242,5863207,1300205.125,0.1162386,0.0402742
background,2269341.721,1860071.949,9.4379025,3.3583915,1.6085926,0.1550644,0.2950593,0.0051585,1.7874731,1.7910713,1205459.75,44233.76172,0.0958464,0.0151061
background,2266850.591,1860107.231,5.6148839,-0.0735068,0.5251139,0,0.0519345,0,1.631044,1.7524645,327370.25,1.5320672,0.0368852,0
background,2270821.24,1860026.56,24.777935,18.6669369,3.4554908,1.0798264,0.9374896,0.1009755,0.2661725,0.2696007,6782757,1597393,0.1226749,0.0442392
background,2260834.966,1860141.481,3.3969991,-0.829622,0.0011635,0.0524131,0,0.0042564,1.1078299,0.7000438,429.1947937,895.0302734,0.0000462,0.0207826
background,2260978.655,1860356.379,3.4014881,-0.9430716,0.0051223,0.0796036,0,0.006039,0.7522885,0.6123075,1762.643677,921.1279297,0.0007248,0.0369092
background,2270575.375,1860075.168,23.153389,17.0448151,3.2947206,1.0565106,0.8724472,0.0997405,0.6575226,0.6569487,6041893,1426496.25,0.1207224,0.0451798
background,2267589.49,1860227.712,2.9318221,-0.1454529,0.2643374,0,0.0123315,0,0.5679278,0.4118297,62321.18359,0,0.0297971,0
background,2263767.719,1860142.592,2.3225808,-0.6624733,0.0059548,0,0,0,0.7382114,0.3114462,1222.442017,0,0.0009367,0
background,2270604.352,1860208.889,22.6195602,16.5010738,3.1325393,0.9614154,0.7936779,0.0830958,1.2054633,1.2048393,5614333.5,1257374.625,0.1160725,0.0416229
background,2262686.599,1860329.968,6.2949691,1.2440032,0.0380342,0.0028405,0.0000342,0,0.4425314,0.4425087,18486.5625,303.8685303,0.0027606,0.0002598
